River,Area,Temperature,Runoff,Erosion,Observation,carbonate,metamorphic,sediment,mafic,felsic,ice,intermediate,Book_area(103km2),Book_discharge(km3/yr),Book_runoff(mm/yr)
Amazon,6112000,300.15,1078,204,20942.40838,0.013556137,0.096658497,0.720055821,0.002102636,0.136720337,0.001842813,0.029063757,6300,6300,1000
Changjiang,1808000,285.15,513,267,16039.82301,0.181514896,0.032281498,0.68117201,0.010574079,0.081484611,0.003910696,0.009062316,1800,900,500
Mississippi,2980000,283.15,195,168,20134.22819,0.161902279,0.016232167,0.779726919,0.005380593,0.022323901,0.006862612,0.007571581,3300,490,148.4848485
Irrawady,410000,297.15,1185,637,402439.0244,0.084512601,0.12417882,0.705059854,0.041523531,0.042073611,0,0,430,430,1000
Ganges,1050000,292.15,470,530,123809.5238,0.01473757,0.185418736,0.652132627,0.052289364,0.087810219,0.006211992,0.001399489,980,490,500
Yenisei,2590000,266.15,239,5,11583.01158,0.138449909,0.081972531,0.372093353,0.269157165,0.120102739,0.005112998,0.012783745,2600,620,238.4615385
Mackenzie,1787000,270.55,172,23,10632.34471,0.03991053,0.079010652,0.772065919,0.005334632,0.064448205,0,0.039230089,1800,310,172.2222222
St. Lawrence,1020000,278.55,330,4,8823.529412,0.146584992,0.327329691,0.272476087,0.064700601,0.131481291,0.041229442,0.014133182,1200,340,283.3333333
Lena,2490000,264.15,211,8,7630.522088,0.199743978,0.106150573,0.507235737,0.05785926,0.117325458,0,0.011435304,2500,520,208
Xijiang,437000,294.15,831,160,20594.96568,0.399962868,0,0.48447728,0.006811252,0.094820718,0,0.013927935,,,#DIV/0!
Ob,2990000,272.15,135,5,3678.929766,0.042177993,0.020964602,0.869278717,0.004834065,0.049065135,0.000806185,0.012873255,3000,390,130
Brahmaputra,580000,288.45,879,890,32758.62069,0.01473757,0.185418736,0.652132627,0.052289364,0.087810219,0.006211992,0.001399489,670,630,940.2985075
Parana,2783000,295.15,204,34,31261.22889,0.005421551,0.07641745,0.770923443,0.09721405,0.033620676,0.003576157,0.01282672,2600,530,203.8461538
Mekong,795000,294.15,587,188,71698.11321,0.05525114,0.032469355,0.773265265,0.030608466,0.085921462,0,0.022484222,800,550,687.5
Congo-Zaire,3698000,296.75,324,12,9194.159005,0.007924954,0.453858807,0.529645188,0.00146309,0,0.007108001,0,3800,1300,342.1052632
Rhine,224000,280.45,310,12,22321.42857,0.193510049,0.072886981,0.658087654,0,0.075515296,0,0,220,74,336.3636364
Yukon,849000,268.15,236,63,15312.13192,0.032166253,0.102751992,0.633884865,0.067701418,0.107299068,0.0044208,0.05177563,850,210,247.0588235
Orinoco,1100000,297.95,1032,150,26363.63636,0.014987187,0.108986736,0.605270322,0.005636573,0.259221813,0,0.005897323,1100,1100,1000
Magdalena,235000,297.15,1009,920,29787.23404,0.036660201,0.122463272,0.52516882,0.049116116,0.122450106,0.009719437,0.134422013,260,230,884.6153846
Columbia,669000,281.45,353,22,44843.04933,0.060370709,0.051778354,0.371493143,0.292440379,0.183913148,0.004945373,0.035058899,670,240,358.2089552
Indus,916000,291.95,98,264,20742.35808,0.108944857,0.076558754,0.709078773,0.006892096,0.083635294,0.003785832,0.011104367,980,90,91.83673469
Don,420000,280.15,69,15,130952.381,0.19904354,0,0.800956446,0,0,0,0,430,29,67.44186047
Nelson,1132000,,79,,8833.922261,0.143913335,0.066426619,0.553835963,0.026510357,0.205846776,0,0.003466932,1100,89,80.90909091
